x,y,u,v,omega
0.01428571,0.03333333,0.00002258,-0.00008341,0.00060439
0.01428571,0.04285714,0.00000528,-0.00008992,0.00258777
0.01428571,0.05238095,-0.00001634,-0.00007463,0.00563173
0.01428571,0.06190476,-0.00004050,-0.00003364,0.01002935
0.01428571,0.07142857,-0.00006606,0.00003545,0.01598677
0.01428571,0.08095238,-0.00009229,0.00013400,0.02364115
0.01428571,0.09047619,-0.00011874,0.00026269,0.03307846
0.01428571,0.10000000,-0.00014511,0.00042173,0.04434776
0.01428571,0.10952381,-0.00017121,0.00061104,0.05747181
0.01428571,0.11904762,-0.00019694,0.00083035,0.07245480
0.01428571,0.12857143,-0.00022221,0.00107923,0.08928768
0.01428571,0.13809524,-0.00024698,0.00135720,0.10795207
0.01428571,0.14761905,-0.00027122,0.00166369,0.12842283
0.01428571,0.15714286,-0.00029492,0.00199813,0.15066999
0.01428571,0.16666667,-0.00031807,0.00235989,0.17465991
0.01428571,0.17619048,-0.00034065,0.00274835,0.20035616
0.01428571,0.18571429,-0.00036266,0.00316284,0.22772007
0.01428571,0.19523810,-0.00038409,0.00360271,0.25671104
0.01428571,0.20476190,-0.00040492,0.00406727,0.28728670
0.01428571,0.21428571,-0.00042514,0.00455582,0.31940302
0.01428571,0.22380952,-0.00044474,0.00506765,0.35301426
0.01428571,0.23333333,-0.00046369,0.00560202,0.38807297
0.01428571,0.24285714,-0.00048197,0.00615815,0.42452994
0.01428571,0.25238095,-0.00049957,0.00673525,0.46233401
0.01428571,0.26190476,-0.00051644,0.00733250,0.50143212
0.01428571,0.27142857,-0.00053257,0.00794904,0.54176909
0.01428571,0.28095238,-0.00054792,0.00858399,0.58328760
0.01428571,0.29047619,-0.00056246,0.00923641,0.62592828
0.01428571,0.30000000,-0.00057616,0.00990534,0.66962934
0.01428571,0.30952381,-0.00058899,0.01058979,0.71432680
0.01428571,0.31904762,-0.00060092,0.01128871,0.75995463
0.01428571,0.32857143,-0.00061190,0.01200103,0.80644435
0.01428571,0.33809524,-0.00062192,0.01272564,0.85372561
0.01428571,0.34761905,-0.00063094,0.01346139,0.90172595
0.01428571,0.35714286,-0.00063894,0.01420712,0.95037109
0.01428571,0.36666667,-0.00064588,0.01496161,0.99958515
0.01428571,0.37619048,-0.00065177,0.01572364,1.04929078
0.01428571,0.38571429,-0.00065656,0.01649195,1.09940958
0.01428571,0.39523810,-0.00066026,0.01726528,1.14986217
0.01428571,0.40476190,-0.00066286,0.01804236,1.20056880
0.01428571,0.41428571,-0.00066436,0.01882191,1.25144958
0.01428571,0.42380952,-0.00066476,0.01960265,1.30242503
0.01428571,0.43333333,-0.00066408,0.02038331,1.35341656
0.01428571,0.44285714,-0.00066234,0.02116266,1.40434682
0.01428571,0.45238095,-0.00065956,0.02193949,1.45514071
0.01428571,0.46190476,-0.00065580,0.02271262,1.50572550
0.01428571,0.47142857,-0.00065109,0.02348093,1.55603194
0.01428571,0.48095238,-0.00064551,0.02424338,1.60599470
0.01428571,0.49047619,-0.00063912,0.02499897,1.65555358
0.01428571,0.50000000,-0.00063200,0.02574683,1.70465386
0.01428571,0.50952381,-0.00062425,0.02648617,1.75324750
0.01428571,0.51904762,-0.00061599,0.02721633,1.80129421
0.01428571,0.52857143,-0.00060734,0.02793680,1.84876239
0.01428571,0.53809524,-0.00059845,0.02864720,1.89563012
0.01428571,0.54761905,-0.00058947,0.02934735,1.94188702
0.01428571,0.55714286,-0.00058059,0.03003725,1.98753500
0.01428571,0.56666667,-0.00057201,0.03071715,2.03258967
0.01428571,0.57619048,-0.00056396,0.03138752,2.07708263
0.01428571,0.58571429,-0.00055668,0.03204912,2.12106299
0.01428571,0.59523810,-0.00055046,0.03270301,2.16459894
0.01428571,0.60476190,-0.00054561,0.03335061,2.20778036
0.01428571,0.61428571,-0.00054248,0.03399371,2.25072169
0.01428571,0.62380952,-0.00054147,0.03463454,2.29356384
0.01428571,0.63333333,-0.00054301,0.03527581,2.33647847
0.01428571,0.64285714,-0.00054761,0.03592077,2.37967086
0.01428571,0.65238095,-0.00055583,0.03657328,2.42338395
0.01428571,0.66190476,-0.00056831,0.03723792,2.46790385
0.01428571,0.67142857,-0.00058579,0.03792003,2.51356554
0.01428571,0.68095238,-0.00060910,0.03862587,2.56075811
0.01428571,0.69047619,-0.00063921,0.03936272,2.60993266
0.01428571,0.70000000,-0.00067724,0.04013904,2.66161132
0.01428571,0.70952381,-0.00072446,0.04096469,2.71639705
0.01428571,0.71904762,-0.00078240,0.04185107,2.77498436
0.01428571,0.72857143,-0.00085280,0.04281144,2.83817387
0.01428571,0.73809524,-0.00093773,0.04386121,2.90688729
0.01428571,0.74761905,-0.00103962,0.04501830,2.98218584
0.01428571,0.75714286,-0.00116135,0.04630357,3.06529140
0.01428571,0.76666667,-0.00130633,0.04774136,3.15761185
0.01428571,0.77619048,-0.00147866,0.04936016,3.26076913
0.01428571,0.78571429,-0.00168324,0.05119334,3.37663484
0.01428571,0.79523810,-0.00192602,0.05328016,3.50736904
0.01428571,0.80476190,-0.00221422,0.05566692,3.65546656
0.01428571,0.81428571,-0.00255672,0.05840854,3.82381392
0.01428571,0.82380952,-0.00296455,0.06157032,4.01575089
0.01428571,0.83333333,-0.00345150,0.06523050,4.23514462
0.01428571,0.84285714,-0.00403512,0.06948331,4.48647499
0.01428571,0.85238095,-0.00473801,0.07444311,4.77492046
0.01428571,0.86190476,-0.00558982,0.08024991,5.10644865
0.01428571,0.87142857,-0.00663007,0.08707668,5.48787546
0.01428571,0.88095238,-0.00791261,0.09513943,5.92684460
0.01428571,0.89047619,-0.00951224,0.10471057,6.43159819
0.01428571,0.90000000,-0.01153518,0.11613687,7.01024294
0.01428571,0.90952381,-0.01413502,0.12986161,7.66881084
0.01428571,0.91904762,-0.01753656,0.14644751,8.40642834
0.01428571,0.92857143,-0.02206710,0.16658419,9.20336723
0.01428571,0.93809524,-0.02817972,0.19102594,9.99107742
0.01428571,0.94761905,-0.03638919,0.22029500,10.57508469
0.01428571,0.95714286,-0.04679265,0.25368056,10.43075943
0.01428571,0.96666667,-0.05692594,0.28631181,8.14874172
0.01428571,0.97619048,-0.05336776,0.30175567,-0.07874867
0.01428571,0.98571429,0.01913819,0.25906292,-24.34500504
0.01428571,0.99523810,0.36364773,0.10802461,-39.24477005
0.02380952,0.00476190,0.00003373,-0.00000925,-0.00279951
0.02380952,0.01428571,0.00006111,-0.00003259,-0.00070556
0.02380952,0.02380952,0.00005702,-0.00005673,0.00326090
0.02380952,0.03333333,0.00003033,-0.00006643,0.00724894
0.02380952,0.04285714,-0.00001168,-0.00005071,0.01159314
0.02380952,0.05238095,-0.00006367,-0.00000171,0.01661848
0.02380952,0.06190476,-0.00012191,0.00008604,0.02259877
0.02380952,0.07142857,-0.00018387,0.00021618,0.02974718
0.02380952,0.08095238,-0.00024784,0.00039099,0.03822129
0.02380952,0.09047619,-0.00031267,0.00061178,0.04813261
0.02380952,0.10000000,-0.00037761,0.00087918,0.05955636
0.02380952,0.10952381,-0.00044215,0.00119331,0.07253990
0.02380952,0.11904762,-0.00050595,0.00155395,0.08710945
0.02380952,0.12857143,-0.00056878,0.00196066,0.10327534
0.02380952,0.13809524,-0.00063051,0.00241280,0.12103584
0.02380952,0.14761905,-0.00069103,0.00290964,0.14038019
0.02380952,0.15714286,-0.00075027,0.00345035,0.16129068
0.02380952,0.16666667,-0.00080818,0.00403404,0.18374427
0.02380952,0.17619048,-0.00086472,0.00465976,0.20771369
0.02380952,0.18571429,-0.00091987,0.00532655,0.23316833
0.02380952,0.19523810,-0.00097358,0.00603338,0.26007473
0.02380952,0.20476190,-0.00102581,0.00677920,0.28839704
0.02380952,0.21428571,-0.00107653,0.00756292,0.31809717
0.02380952,0.22380952,-0.00112569,0.00838343,0.34913513
0.02380952,0.23333333,-0.00117323,0.00923956,0.38146895
0.02380952,0.24285714,-0.00121910,0.01013010,0.41505486
0.02380952,0.25238095,-0.00126324,0.01105381,0.44984722
0.02380952,0.26190476,-0.00130558,0.01200937,0.48579860
0.02380952,0.27142857,-0.00134605,0.01299545,0.52285963
0.02380952,0.28095238,-0.00138457,0.01401064,0.56097907
0.02380952,0.29047619,-0.00142107,0.01505347,0.60010397
0.02380952,0.30000000,-0.00145546,0.01612243,0.64017934
0.02380952,0.30952381,-0.00148766,0.01721595,0.68114835
0.02380952,0.31904762,-0.00151760,0.01833239,0.72295249
0.02380952,0.32857143,-0.00154521,0.01947006,0.76553124
0.02380952,0.33809524,-0.00157039,0.02062723,0.80882263
0.02380952,0.34761905,-0.00159309,0.02180209,0.85276300
0.02380952,0.35714286,-0.00161323,0.02299281,0.89728731
0.02380952,0.36666667,-0.00163077,0.02419751,0.94232911
0.02380952,0.37619048,-0.00164565,0.02541424,0.98782104
0.02380952,0.38571429,-0.00165783,0.02664107,1.03369486
0.02380952,0.39523810,-0.00166728,0.02787602,1.07988155
0.02380952,0.40476190,-0.00167399,0.02911709,1.12631202
0.02380952,0.41428571,-0.00167797,0.03036228,1.17291713
0.02380952,0.42380952,-0.00167922,0.03160961,1.21962821
0.02380952,0.43333333,-0.00167778,0.03285711,1.26637733
0.02380952,0.44285714,-0.00167371,0.03410283,1.31309795
0.02380952,0.45238095,-0.00166708,0.03534489,1.35972512
0.02380952,0.46190476,-0.00165798,0.03658146,1.40619648
0.02380952,0.47142857,-0.00164655,0.03781078,1.45245218
0.02380952,0.48095238,-0.00163294,0.03903123,1.49843645
0.02380952,0.49047619,-0.00161731,0.04024125,1.54409707
0.02380952,0.50000000,-0.00159988,0.04143947,1.58938730
0.02380952,0.50952381,-0.00158090,0.04262466,1.63426578
0.02380952,0.51904762,-0.00156063,0.04379578,1.67869794
0.02380952,0.52857143,-0.00153939,0.04495200,1.72265649
0.02380952,0.53809524,-0.00151754,0.04609275,1.76612282
0.02380952,0.54761905,-0.00149548,0.04721770,1.80908763
0.02380952,0.55714286,-0.00147366,0.04832687,1.85155272
0.02380952,0.56666667,-0.00145257,0.04942059,1.89353168
0.02380952,0.57619048,-0.00143277,0.05049958,1.93505132
0.02380952,0.58571429,-0.00141488,0.05156498,1.97615349
0.02380952,0.59523810,-0.00139961,0.05261844,2.01689696
0.02380952,0.60476190,-0.00138772,0.05366209,2.05735850
0.02380952,0.61428571,-0.00138007,0.05469868,2.09763551
0.02380952,0.62380952,-0.00137764,0.05573161,2.13784838
0.02380952,0.63333333,-0.00138152,0.05676503,2.17814302
0.02380952,0.64285714,-0.00139293,0.05780390,2.21869326
0.02380952,0.65238095,-0.00141324,0.05885410,2.25970435
0.02380952,0.66190476,-0.00144404,0.05992260,2.30141711
0.02380952,0.67142857,-0.00148709,0.06101752,2.34411097
0.02380952,0.68095238,-0.00154444,0.06214832,2.38810968
0.02380952,0.69047619,-0.00161841,0.06332600,2.43378520
0.02380952,0.70000000,-0.00171167,0.06456330,2.48156428
0.02380952,0.70952381,-0.00182732,0.06587495,2.53193402
0.02380952,0.71904762,-0.00196893,0.06727797,2.58545017
0.02380952,0.72857143,-0.00214066,0.06879199,2.64274335
0.02380952,0.73809524,-0.00234735,0.07043971,2.70452809
0.02380952,0.74761905,-0.00259467,0.07224730,2.77161193
0.02380952,0.75714286,-0.00288928,0.07424501,2.84490490
0.02380952,0.76666667,-0.00323901,0.07646783,2.92542863
0.02380952,0.77619048,-0.00365317,0.07895623,3.01432633
0.02380952,0.78571429,-0.00414279,0.08175711,3.11287045
0.02380952,0.79523810,-0.00472107,0.08492489,3.22246957
0.02380952,0.80476190,-0.00540386,0.08852281,3.34466863
0.02380952,0.81428571,-0.00621036,0.09262446,3.48114395
0.02380952,0.82380952,-0.00716394,0.09731570,3.63368177
0.02380952,0.83333333,-0.00829335,0.10269677,3.80413675
0.02380952,0.84285714,-0.00963426,0.10888497,3.99434948
0.02380952,0.85238095,-0.01123135,0.11601765,4.20599699
0.02380952,0.86190476,-0.01314126,0.12425563,4.44032860
0.02380952,0.87142857,-0.01543651,0.13378674,4.69769478
0.02380952,0.88095238,-0.01821082,0.14482863,4.97670937
0.02380952,0.89047619,-0.02158598,0.15762945,5.27272511
0.02380952,0.90000000,-0.02571991,0.17246160,5.57501411
0.02380952,0.90952381,-0.03081331,0.18959989,5.86141253
0.02380952,0.91904762,-0.03710616,0.20926188,6.08785152
0.02380952,0.92857143,-0.04483636,0.23146407,6.16727257
0.02380952,0.93809524,-0.05407981,0.25569168,5.92591524
0.02380952,0.94761905,-0.06424121,0.28017473,5.01056337
0.02380952,0.95714286,-0.07255145,0.30039999,2.69021893
0.02380952,0.96666667,-0.06983668,0.30643830,-2.55494308
0.02380952,0.97619048,-0.02925092,0.27978835,-13.77091122
0.02380952,0.98571429,0.12051599,0.19698645,-36.16343307
0.02380952,0.99523810,0.54098350,0.06931116,-47.54969025
0.03333333,0.00476190,0.00005008,-0.00000710,-0.00316199
0.03333333,0.01428571,0.00008318,-0.00002218,0.00057920
0.03333333,0.02380952,0.00006672,-0.00002981,0.00720300
0.03333333,0.03333333,0.00001456,-0.00001403,0.01353727
0.03333333,0.04285714,-0.00006255,0.00003690,0.01991709
0.03333333,0.05238095,-0.00015658,0.00013168,0.02664973
0.03333333,0.06190476,-0.00026169,0.00027661,0.03399936
0.03333333,0.07142857,-0.00037375,0.00047614,0.04218144
0.03333333,0.08095238,-0.00048985,0.00073322,0.05136468
0.03333333,0.09047619,-0.00060796,0.00104972,0.06167666
0.03333333,0.10000000,-0.00072666,0.00142666,0.07321065
0.03333333,0.10952381,-0.00084499,0.00186442,0.08603211
0.03333333,0.11904762,-0.00096227,0.00236294,0.10018439
0.03333333,0.12857143,-0.00107804,0.00292182,0.11569344
0.03333333,0.13809524,-0.00119198,0.00354040,0.13257153
0.03333333,0.14761905,-0.00130385,0.00421785,0.15082029
0.03333333,0.15714286,-0.00141349,0.00495318,0.17043287
0.03333333,0.16666667,-0.00152078,0.00574533,0.19139583
0.03333333,0.17619048,-0.00162563,0.00659311,0.21369040
0.03333333,0.18571429,-0.00172793,0.00749529,0.23729351
0.03333333,0.19523810,-0.00182762,0.00845057,0.26217857
0.03333333,0.20476190,-0.00192461,0.00945759,0.28831595
0.03333333,0.21428571,-0.00201881,0.01051494,0.31567356
0.03333333,0.22380952,-0.00211012,0.01162114,0.34421694
0.03333333,0.23333333,-0.00219845,0.01277467,0.37390959
0.03333333,0.24285714,-0.00228369,0.01397394,0.40471315
0.03333333,0.25238095,-0.00236571,0.01521729,0.43658745
0.03333333,0.26190476,-0.00244439,0.01650300,0.46949050
0.03333333,0.27142857,-0.00251960,0.01782929,0.50337881
0.03333333,0.28095238,-0.00259120,0.01919429,0.53820705
0.03333333,0.29047619,-0.00265905,0.02059608,0.57392848
0.03333333,0.30000000,-0.00272299,0.02203264,0.61049467
0.03333333,0.30952381,-0.00278289,0.02350189,0.64785576
0.03333333,0.31904762,-0.00283860,0.02500169,0.68596041
0.03333333,0.32857143,-0.00288998,0.02652979,0.72475582
0.03333333,0.33809524,-0.00293689,0.02808390,0.76418793
0.03333333,0.34761905,-0.00297920,0.02966165,0.80420148
0.03333333,0.35714286,-0.00301681,0.03126062,0.84474003
0.03333333,0.36666667,-0.00304959,0.03287832,0.88574624
0.03333333,0.37619048,-0.00307746,0.03451222,0.92716199
0.03333333,0.38571429,-0.00310036,0.03615974,0.96892852
0.03333333,0.39523810,-0.00311823,0.03781829,1.01098669
0.03333333,0.40476190,-0.00313106,0.03948524,1.05327737
0.03333333,0.41428571,-0.00313882,0.04115796,1.09574115
0.03333333,0.42380952,-0.00314157,0.04283385,1.13831961
0.03333333,0.43333333,-0.00313937,0.04451029,1.18095469
0.03333333,0.44285714,-0.00313230,0.04618476,1.22358978
0.03333333,0.45238095,-0.00312052,0.04785474,1.26616931
0.03333333,0.46190476,-0.00310420,0.04951783,1.30864036
0.03333333,0.47142857,-0.00308357,0.05117173,1.35095203
0.03333333,0.48095238,-0.00305890,0.05281426,1.39305663
0.03333333,0.49047619,-0.00303051,0.05444340,1.43490970
0.03333333,0.50000000,-0.00299879,0.05605729,1.47647142
0.03333333,0.50952381,-0.00296419,0.05765430,1.51770627
0.03333333,0.51904762,-0.00292720,0.05923304,1.55858469
0.03333333,0.52857143,-0.00288840,0.06079239,1.59908307
0.03333333,0.53809524,-0.00284844,0.06233154,1.63918495
0.03333333,0.54761905,-0.00280805,0.06385005,1.67888212
0.03333333,0.55714286,-0.00276805,0.06534784,1.71817517
0.03333333,0.56666667,-0.00272935,0.06682531,1.75707471
0.03333333,0.57619048,-0.00269298,0.06828332,1.79560244
0.03333333,0.58571429,-0.00266006,0.06972329,1.83379269
0.03333333,0.59523810,-0.00263186,0.07114726,1.87169349
0.03333333,0.60476190,-0.00260978,0.07255793,1.90936792
0.03333333,0.61428571,-0.00259541,0.07395874,1.94689643
0.03333333,0.62380952,-0.00259050,0.07535401,1.98437750
0.03333333,0.63333333,-0.00259703,0.07674896,2.02193069
0.03333333,0.64285714,-0.00261719,0.07814986,2.05969787
0.03333333,0.65238095,-0.00265349,0.07956415,2.09784627
0.03333333,0.66190476,-0.00270873,0.08100059,2.13656998
0.03333333,0.67142857,-0.00278610,0.08246937,2.17609334
0.03333333,0.68095238,-0.00288923,0.08398236,2.21667337
0.03333333,0.69047619,-0.00302224,0.08555330,2.25860310
0.03333333,0.70000000,-0.00318986,0.08719802,2.30221391
0.03333333,0.70952381,-0.00339751,0.08893474,2.34787846
0.03333333,0.71904762,-0.00365142,0.09078439,2.39601421
0.03333333,0.72857143,-0.00395880,0.09277099,2.44708490
0.03333333,0.73809524,-0.00432797,0.09492202,2.50160289
0.03333333,0.74761905,-0.00476861,0.09726898,2.56012917
0.03333333,0.75714286,-0.00529197,0.09984789,2.62327194
0.03333333,0.76666667,-0.00591118,0.10269992,2.69168377
0.03333333,0.77619048,-0.00664161,0.10587212,2.76605153
0.03333333,0.78571429,-0.00750132,0.10941821,2.84708333
0.03333333,0.79523810,-0.00851155,0.11339945,2.93548417
0.03333333,0.80476190,-0.00969744,0.11788561,3.03191924
0.03333333,0.81428571,-0.01108878,0.12295596,3.13695478
0.03333333,0.82380952,-0.01272110,0.12870032,3.25096869
0.03333333,0.83333333,-0.01463689,0.13521993,3.37401342
0.03333333,0.84285714,-0.01688715,0.14262816,3.50560069
0.03333333,0.85238095,-0.01953331,0.15105034,3.64436936
0.03333333,0.86190476,-0.02264938,0.16062243,3.78755689
0.03333333,0.87142857,-0.02632410,0.17148703,3.93015027
0.03333333,0.88095238,-0.03066253,0.18378443,4.06349421
0.03333333,0.89047619,-0.03578499,0.19763434,4.17296171
0.03333333,0.90000000,-0.04181901,0.21310028,4.23396158
0.03333333,0.90952381,-0.04887352,0.23012130,4.20493984
0.03333333,0.91904762,-0.05697019,0.24838354,4.01482248
0.03333333,0.92857143,-0.06587340,0.26708239,3.54003525
0.03333333,0.93809524,-0.07468364,0.28449568,2.56196213
0.03333333,0.94761905,-0.08088742,0.29726267,0.68862885
0.03333333,0.95714286,-0.07819519,0.29932734,-2.78291464
0.03333333,0.96666667,-0.05185065,0.28094673,-9.07338047
0.03333333,0.97619048,0.03055446,0.22980529,-20.07612610
0.03333333,0.98571429,0.23284774,0.14047004,-37.78014755
0.03333333,0.99523810,0.65354586,0.04325121,-46.34856415
0.04285714,0.00476190,0.00006045,-0.00000327,-0.00260632
0.04285714,0.01428571,0.00008953,-0.00000491,0.00250161
0.04285714,0.02380952,0.00005124,0.00001185,0.01143469
0.04285714,0.03333333,-0.00003603,0.00006215,0.01978005
0.04285714,0.04285714,-0.00015826,0.00015752,0.02788801
0.04285714,0.05238095,-0.00030488,0.00030676,0.03606353
0.04285714,0.06190476,-0.00046803,0.00051647,0.04456699
0.04285714,0.07142857,-0.00064194,0.00079147,0.05361452
0.04285714,0.08095238,-0.00082243,0.00113516,0.06338064
0.04285714,0.09047619,-0.00100648,0.00154976,0.07400259
0.04285714,0.10000000,-0.00119194,0.00203663,0.08558553
0.04285714,0.10952381,-0.00137725,0.00259640,0.09820770
0.04285714,0.11904762,-0.00156131,0.00322918,0.11192520
0.04285714,0.12857143,-0.00174335,0.00393464,0.12677614
0.04285714,0.13809524,-0.00192278,0.00471217,0.14278413
0.04285714,0.14761905,-0.00209921,0.00556090,0.15996107
0.04285714,0.15714286,-0.00227232,0.00647976,0.17830952
0.04285714,0.16666667,-0.00244187,0.00746754,0.19782445
0.04285714,0.17619048,-0.00260768,0.00852291,0.21849471
0.04285714,0.18571429,-0.00276958,0.00964443,0.24030420
0.04285714,0.19523810,-0.00292741,0.01083058,0.26323271
0.04285714,0.20476190,-0.00308101,0.01207974,0.28725657
0.04285714,0.21428571,-0.00323025,0.01339024,0.31234929
0.04285714,0.22380952,-0.00337495,0.01476030,0.33848184
0.04285714,0.23333333,-0.00351494,0.01618808,0.36562306
0.04285714,0.24285714,-0.00365005,0.01767167,0.39373979
0.04285714,0.25238095,-0.00378008,0.01920905,0.42279714
0.04285714,0.26190476,-0.00390484,0.02079816,0.45275861
0.04285714,0.27142857,-0.00402410,0.02243681,0.48358613
0.04285714,0.28095238,-0.00413766,0.02412276,0.51524025
